cell_name,cell_type,cell_type_pooled
X1772067084_A02,IFE-B,IFE-B
X1772067084_A04,IFE-DI,IFE-D
X1772067084_A06,IFE-B,IFE-B
X1772067084_A07,IFE-DI,IFE-D
X1772067084_A08,IFE-B,IFE-B
X1772067084_A09,IFE-B,IFE-B
X1772067084_A11,IFE-B,IFE-B
X1772067084_B03,IFE-B,IFE-B
X1772067084_B04,IFE-B,IFE-B
X1772067084_B05,IFE-B,IFE-B
X1772067084_B06,IFE-DI,IFE-D
X1772067084_B07,IFE-B,IFE-B
X1772067084_B09,IFE-B,IFE-B
X1772067084_B12,IFE-B,IFE-B
X1772067084_C03,IFE-DII,IFE-D
X1772067084_C05,IFE-DI,IFE-D
X1772067084_C06,IFE-B,IFE-B
X1772067084_C07,IFE-B,IFE-B
X1772067084_C08,IFE-DII,IFE-D
X1772067084_C10,IFE-DII,IFE-D
X1772067084_C11,IFE-B,IFE-B
X1772067084_C12,IFE-B,IFE-B
X1772067084_D03,IFE-B,IFE-B
X1772067084_D04,IFE-B,IFE-B
X1772067084_D05,IFE-B,IFE-B
X1772067084_D06,IFE-B,IFE-B
X1772067084_D07,IFE-DI,IFE-D
X1772067084_D10,IFE-B,IFE-B
X1772067084_D11,IFE-KI,IFE-K
X1772067084_D12,IFE-B,IFE-B
X1772067084_E01,IFE-B,IFE-B
X1772067084_E02,IFE-KI,IFE-K
X1772067084_E04,IFE-B,IFE-B
X1772067084_E05,IFE-DI,IFE-D
X1772067084_E06,IFE-DI,IFE-D
X1772067084_E07,IFE-B,IFE-B
X1772067084_E08,IFE-DII,IFE-D
X1772067084_E09,IFE-DI,IFE-D
X1772067084_E11,IFE-B,IFE-B
X1772067084_F01,IFE-B,IFE-B
X1772067084_F02,IFE-B,IFE-B
X1772067084_F04,IFE-DI,IFE-D
X1772067084_F06,IFE-B,IFE-B
X1772067084_F09,IFE-B,IFE-B
X1772067084_F10,IFE-B,IFE-B
X1772067084_F11,IFE-DI,IFE-D
X1772067084_F12,IFE-B,IFE-B
X1772067084_G04,IFE-B,IFE-B
X1772067084_G05,IFE-B,IFE-B
X1772067084_G06,IFE-B,IFE-B
X1772067084_G09,IFE-KI,IFE-K
X1772067084_G11,IFE-B,IFE-B
X1772067084_G12,IFE-B,IFE-B
X1772067084_H04,IFE-B,IFE-B
X1772067084_H05,IFE-B,IFE-B
X1772067084_H06,IFE-B,IFE-B
X1772067084_H11,IFE-B,IFE-B
X1772067085_B07,IFE-DI,IFE-D
X1772067085_B11,IFE-B,IFE-B
X1772067085_C01,IFE-DII,IFE-D
X1772067085_C08,IFE-DI,IFE-D
X1772067085_D03,IFE-B,IFE-B
X1772067085_E01,IFE-KI,IFE-K
X1772067085_E03,IFE-B,IFE-B
X1772067085_E09,IFE-B,IFE-B
X1772067085_E12,IFE-B,IFE-B
X1772067085_F09,IFE-DII,IFE-D
X1772067085_G08,IFE-KI,IFE-K
X1772067085_H01,IFE-KI,IFE-K
X1772067085_H03,IFE-KI,IFE-K
X1772067086_A02,IFE-DI,IFE-D
X1772067086_A03,IFE-B,IFE-B
X1772067086_A05,IFE-B,IFE-B
X1772067086_A06,IFE-B,IFE-B
X1772067086_A07,IFE-DII,IFE-D
X1772067086_A11,IFE-B,IFE-B
X1772067086_B03,IFE-DI,IFE-D
X1772067086_B04,IFE-B,IFE-B
X1772067086_B11,IFE-B,IFE-B
